Player,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Joe Gomez,90013,4680676,49622.557692307695,2580373,75000,3900000,41346.153846153844,2150000,101905.73076923077,5299098,56178.78846153846,2921297,3-yrs,14042029,7741118,11700000,6450000,15897293,8763892,Reserve,D,CB,24,England,Liverpool
Jesse Lingard,90013,4680676,49622.557692307695,2580373,75000,3900000,41346.153846153844,2150000,101905.73076923077,5299098,56178.78846153846,2921297,1-yr,4680676,2580373,3900000,2150000,5299098,2921297,Reserve,F,AM,29,England,Manchester United
Eric Dier,86781.76923076923,4512652,47776.13461538462,2484359,72307.69230769231,3760000,39807.692307692305,2070000,98247.57692307692,5108874,54088.42307692308,2812598,3-yrs,13537956,7453077,11280000,6210000,15326621,8437794,Reserve,D,CB,28,England,Tottenham
Aaron Ramsdale,85396.96153846153,4440642,47083.730769230766,2448354,71153.84615384616,3700000,39230.769230769234,2040000,96679.78846153847,5027349,53304.53846153846,2771836,4-yrs,17762566,9793415,14800000,8160000,20109396,11087343,Starter,K,GK,23,England,Arsenal
Allan,84012.13461538461,4368631,46160.519230769234,2400347,70000,3640000,38461.53846153846,2000000,95112.01923076923,4945825,52259.346153846156,2717486,2-yrs,8737262,4800694,7280000,4000000,9891649,5434972,Starter,M,DM,31,Brazil,Everton
Nikola Vlasic,84012.13461538461,4368631,46160.519230769234,2400347,70000,3640000,38461.53846153846,2000000,95112.01923076923,4945825,52259.346153846156,2717486,5-yrs,21843156,12001734,18200000,10000000,24729123,13587430,Reserve,F,AM,24,Croatia,West Ham
Angelo Ogbonna,84012.13461538461,4368631,46160.519230769234,2400347,70000,3640000,38461.53846153846,2000000,95112.01923076923,4945825,52259.346153846156,2717486,1-yr,4368631,2400347,3640000,2000000,4945825,2717486,Reserve,D,CB,33,Italy,West Ham
Seamus Coleman,84012.13461538461,4368631,46160.519230769234,2400347,70000,3640000,38461.53846153846,2000000,95112.01923076923,4945825,52259.346153846156,2717486,2-yrs,8737262,4800694,7280000,4000000,9891649,5434972,Starter,D,RB,33,Ireland,Everton
Jonjo Shelvey,84012.13461538461,4368631,46160.519230769234,2400347,70000,3640000,38461.53846153846,2000000,95112.01923076923,4945825,52259.346153846156,2717486,2-yrs,8737262,4800694,7280000,4000000,9891649,5434972,Starter,M,CM,29,England,Newcastle
Ibrahima Konaté,84012.13461538461,4368631,46160.519230769234,2400347,70000,3640000,38461.53846153846,2000000,95112.01923076923,4945825,52259.346153846156,2717486,5-yrs,21843156,12001734,18200000,10000000,24729123,13587430,Reserve,D,CB,22,France,Liverpool
Manuel Lanzini,84012.13461538461,4368631,46160.519230769234,2400347,70000,3640000,38461.53846153846,2000000,95112.01923076923,4945825,52259.346153846156,2717486,2-yrs,8737262,4800694,7280000,4000000,9891649,5434972,Reserve,F,AM,28,Argentina,West Ham
Michail Antonio,84012.13461538461,4368631,46160.519230769234,2400347,70000,3640000,38461.53846153846,2000000,95112.01923076923,4945825,52259.346153846156,2717486,3-yrs,13105894,7201040,10920000,6000000,14837474,8152458,Starter,F,CF,31,Jamaica,West Ham
Ricardo Pereira,84012.13461538461,4368631,46160.519230769234,2400347,70000,3640000,38461.53846153846,2000000,95112.01923076923,4945825,52259.346153846156,2717486,2-yrs,8737262,4800694,7280000,4000000,9891649,5434972,Reserve,D,RB,28,Portugal,Leicester
Fraser Forster,84012.13461538461,4368631,46160.519230769234,2400347,70000,3640000,38461.53846153846,2000000,95112.01923076923,4945825,52259.346153846156,2717486,1-yr,4368631,2400347,3640000,2000000,4945825,2717486,Starter,K,GK,33,England,Southampton
Pablo Fornals,80780.90384615384,4200607,44544.903846153844,2316335,67307.69230769231,3500000,37115.38461538462,1930000,91453.84615384616,4755600,50430.269230769234,2622374,3-yrs,12601821,6949004,10500000,5790000,14266802,7867122,Starter,F,AM,25,Spain,West Ham
Tomas Soucek,80780.90384615384,4200607,44544.903846153844,2316335,67307.69230769231,3500000,37115.38461538462,1930000,91453.84615384616,4755600,50430.269230769234,2622374,3-yrs,12601821,6949004,10500000,5790000,14266802,7867122,Starter,M,DM,26,Czech Republic,West Ham
Issa Diop,80319.28846153847,4176603,44083.28846153846,2292331,66923.07692307692,3480000,36730.769230769234,1910000,90931.26923076923,4728426,49907.67307692308,2595199,2-yrs,8353207,4584662,6960000,3820000,9456851,5190398,Reserve,D,CB,25,France,West Ham
Leon Bailey,78472.88461538461,4080590,43160.07692307692,2244324,65384.61538461538,3400000,35961.53846153846,1870000,88840.88461538461,4619726,48862.480769230766,2540849,4-yrs,16322358,8977297,13600000,7480000,18478905,10163398,Reserve,F,LW,24,Jamaica,Aston Villa
Matt Doherty,78472.88461538461,4080590,43160.07692307692,2244324,65384.61538461538,3400000,35961.53846153846,1870000,88840.88461538461,4619726,48862.480769230766,2540849,3-yrs,12241769,6732973,10200000,5610000,13859179,7622548,Reserve,D,RB,30,Ireland,Tottenham
