,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
421,Papa Ndiaga Yade,sn SEN,DFMF,Metz,22-074,2000,5.8,174,240,72.5,3178,850,71,84,84.5,77,100,77.0,19,43,44.2,0,0.7,-0.7,4,4,5,4,15,Matches
422,Tanguy Ndombele,fr FRA,MF,Lyon,25-082,1996,4.4,269,301,89.4,4695,1391,116,127,91.3,112,119,94.1,29,36,80.6,1,0.9,+0.1,4,39,3,0,28,Matches
423,Dan Ndoye,ch SUI,FWMF,Nice,21-146,2000,2.3,38,54,70.4,627,93,19,26,73.1,14,19,73.7,4,6,66.7,1,0.6,+0.4,2,1,1,1,2,Matches
424,Neymar,br BRA,FWMF,Paris S-G,30-043,1992,12.9,650,842,77.2,10082,3191,364,438,83.1,207,254,81.5,54,97,55.7,3,4.4,-1.4,33,68,30,2,92,Matches
425,Yvan Neyou,cm CMR,MF,Saint-Étienne,25-076,1997,9.9,404,474,85.2,7050,1402,182,211,86.3,171,194,88.1,39,53,73.6,0,0.2,-0.2,7,26,4,0,27,Matches
426,Opa Nguette,sn SEN,FWMF,Metz,27-255,1994,10.7,167,224,74.6,2229,482,100,123,81.3,51,71,71.8,4,7,57.1,2,0.3,+1.7,11,11,2,0,14,Matches
427,Sikou Niakaté,fr FRA,DF,Metz,22-253,1999,4.2,107,127,84.3,2365,783,27,31,87.1,57,65,87.7,22,25,88.0,0,0.1,-0.1,1,2,0,0,4,Matches
428,Ibrahima Niane,sn SEN,FW,Metz,23-009,1999,15.8,276,381,72.4,3879,621,158,196,80.6,91,129,70.5,11,24,45.8,1,1.3,-0.3,12,13,2,1,14,Matches
429,M'Baye Niang,sn SEN,FW,Bordeaux,27-091,1994,3.5,52,70,74.3,814,99,27,33,81.8,19,23,82.6,4,8,50.0,0,0.4,-0.4,1,3,0,0,3,Matches
430,Cheikh Niasse,sn SEN,MFFW,Lille,22-060,2000,0.5,20,25,80.0,256,55,11,14,78.6,8,9,88.9,0,0,,0,0.0,0.0,0,1,0,0,2,Matches
431,Casimir Ninga,td CHA,FW,Angers,28-307,1993,3.5,45,57,78.9,646,174,26,33,78.8,10,13,76.9,4,4,100.0,0,0.1,-0.1,2,3,1,0,5,Matches
432,Arnaud Nordin,fr FRA,FWMF,Saint-Étienne,23-276,1998,15.2,365,480,76.0,6022,1451,187,218,85.8,135,176,76.7,29,56,51.8,4,3.1,+0.9,20,18,14,5,34,Matches
433,Alexander Nübel,de GER,GK,Monaco,25-171,1996,28.0,646,849,76.1,18524,11101,117,117,100.0,299,299,100.0,227,429,52.9,0,0.0,0.0,0,2,0,0,3,Matches
434,Gerzino Nyamsi,fr FRA,DF,Strasbourg,25-057,1997,23.2,866,1008,85.9,20618,6713,181,200,90.5,471,505,93.3,208,293,71.0,2,0.2,+1.8,2,52,1,0,50,Matches
435,Florent Ogier,fr FRA,DF,Clermont Foot,32-364,1989,20.3,949,1117,85.0,19799,8343,324,354,91.5,442,494,89.5,171,251,68.1,0,0.2,-0.2,2,56,1,0,43,Matches
436,Warmed Omari,fr FRA,DF,Rennes,21-331,2000,21.1,1133,1223,92.6,27566,7793,215,229,93.9,596,626,95.2,315,348,90.5,0,0.2,-0.2,3,71,1,0,76,Matches
437,Jonas Omlin,ch SUI,GK,Montpellier,28-069,1994,22.8,681,873,78.0,18938,10643,130,135,96.3,326,333,97.9,221,399,55.4,0,0.0,0.0,0,3,0,0,1,Matches
438,Amadou Onana,be BEL,MF,Lille,20-216,2001,10.0,385,462,83.3,7137,1475,172,194,88.7,155,181,85.6,53,74,71.6,0,0.4,-0.4,7,40,4,0,35,Matches
439,Jean Onana,cm CMR,MF,Bordeaux,22-071,2000,14.1,668,810,82.5,12923,2843,280,322,87.0,262,309,84.8,113,155,72.9,2,1.1,+0.9,12,54,12,0,50,Matches
