name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Jean-Charles Castelletto,10384.615384615385,540000,5769.2307692307695,300000,8652.596153846154,449935,4807,249964,11756.653846153846,611346,6531.4807692307695,339637,2-yrs,1080000,600000,899870,499928,1222692,679273,Reserve,D,CB,27,Cameroon,Nantes
Charles Traoré,10384.615384615385,540000,5769.2307692307695,300000,8652.596153846154,449935,4807,249964,11756.653846153846,611346,6531.4807692307695,339637,2-yrs,1080000,600000,899870,499928,1222692,679273,Reserve,D,LB,30,Mali,Nantes
El Chadaille Bitshiabu,10192.307692307691,530000,5576.923076923077,290000,8492.365384615385,441603,4646.7692307692305,241632,11538.942307692309,600025,6313.75,328315,3-yrs,1590000,870000,1324809,724895,1800074,984946,Reserve,D,CB,16,France,PSG
Javairô Dilrosun,10000,520000,5576.923076923077,290000,8332.134615384615,433271,4646.7692307692305,241632,11321.23076923077,588704,6313.75,328315,1-yr,520000,290000,433271,241632,588704,328315,Reserve,F,LW,23,Netherlands,Bordeaux
Domagoj Bradaric,9807.692307692309,510000,5384.615384615385,280000,8171.903846153846,424939,4486.538461538462,233300,11103.5,577382,6096.038461538462,316994,3-yrs,1530000,840000,1274816,699899,1732147,950983,Reserve,D,LB,22,Croatia,Lille
Haris Belkebla,9807.692307692309,510000,5384.615384615385,280000,8171.903846153846,424939,4486.538461538462,233300,11103.5,577382,6096.038461538462,316994,2-yrs,1020000,560000,849877,466599,1154765,633988,Starter,M,CM,28,Algeria,Brest
Ibrahim Amadou,9807.692307692309,510000,5384.615384615385,280000,8171.903846153846,424939,4486.538461538462,233300,11103.5,577382,6096.038461538462,316994,1-yr,510000,280000,424939,233300,577382,316994,Starter,M,DM,28,France,Metz
Adil Rami,9615.384615384615,500000,5384.615384615385,280000,8011.653846153846,416606,4486.538461538462,233300,10885.788461538461,566061,6096.038461538462,316994,1-yr,500000,280000,416606,233300,566061,316994,Starter,D,CB,36,France,Troyes
Terem Moffi,9615.384615384615,500000,5384.615384615385,280000,8011.653846153846,416606,4486.538461538462,233300,10885.788461538461,566061,6096.038461538462,316994,3-yrs,1500000,840000,1249819,699899,1698183,950983,Starter,F,CF,22,Nigeria,Lorient
Léo Jardim,9615.384615384615,500000,5384.615384615385,280000,8011.653846153846,416606,4486.538461538462,233300,10885.788461538461,566061,6096.038461538462,316994,3-yrs,1500000,840000,1249819,699899,1698183,950983,Reserve,K,GK,26,Brazil,Lille
Kevin Danso,9615.384615384615,500000,5384.615384615385,280000,8011.653846153846,416606,4486.538461538462,233300,10885.788461538461,566061,6096.038461538462,316994,5-yrs,2500000,1400000,2083032,1166498,2830306,1584971,Starter,D,CB,23,Austria,Lens
Stephy Mavididi,9615.384615384615,500000,5384.615384615385,280000,8011.653846153846,416606,4486.538461538462,233300,10885.788461538461,566061,6096.038461538462,316994,3-yrs,1500000,840000,1249819,699899,1698183,950983,Reserve,F,LW,23,England,Montpellier
Harold Moukoudi,9615.384615384615,500000,5384.615384615385,280000,8011.653846153846,416606,4486.538461538462,233300,10885.788461538461,566061,6096.038461538462,316994,2-yrs,1000000,560000,833213,466599,1132122,633988,Reserve,D,CB,24,Cameroon,St-Etienne
Ludovic Ajorque,9423.076923076924,490000,5192.307692307692,270000,7851.423076923077,408274,4326.307692307692,224968,10668.076923076924,554740,5878.326923076923,305673,3-yrs,1470000,810000,1224823,674903,1664220,917019,Starter,F,CF,27,France,Strasbourg
Vincent Manceau,9423.076923076924,490000,5192.307692307692,270000,7851.423076923077,408274,4326.307692307692,224968,10668.076923076924,554740,5878.326923076923,305673,1-yr,490000,270000,408274,224968,554740,305673,Starter,D,CB,32,France,Angers
Yunis Abdelhamid,9230.76923076923,480000,5000,260000,7691.192307692308,399942,4166.057692307692,216635,10450.365384615385,543419,5660.615384615385,294352,1-yr,480000,260000,399942,216635,543419,294352,Starter,D,CB,34,Morocco,Reims
Andy Delort,9230.76923076923,480000,5000,260000,7691.192307692308,399942,4166.057692307692,216635,10450.365384615385,543419,5660.615384615385,294352,3-yrs,1440000,780000,1199827,649906,1630256,883055,Starter,F,CF,30,Algeria,Nice
Marcus Coco,9230.76923076923,480000,5000,260000,7691.192307692308,399942,4166.057692307692,216635,10450.365384615385,543419,5660.615384615385,294352,2-yrs,960000,520000,799884,433271,1086837,588704,Reserve,F,RW,25,France,Nantes
Wuilker Fariñez,9038.461538461539,470000,5000,260000,7530.961538461538,391610,4166.057692307692,216635,10232.634615384615,532097,5660.615384615385,294352,3-yrs,1410000,780000,1174830,649906,1596292,883055,Reserve,K,GK,23,Venezuela,Lens
Moritz Jenz,9038.461538461539,470000,5000,260000,7530.961538461538,391610,4166.057692307692,216635,10232.634615384615,532097,5660.615384615385,294352,5-yrs,2350000,1300000,1958050,1083177,2660487,1471759,Starter,D,CB,22,Germany,Lorient
Angelo Fulgini,8846.153846153846,460000,4807.692307692308,250000,7370.7307692307695,383278,4005.826923076923,208303,10014.923076923076,520776,5442.903846153846,283031,2-yrs,920000,500000,766556,416606,1041553,566061,Starter,F,AM,25,France,Angers
